Month,State,Product Category,Units Sold,Revenue (USD),Cost (USD),Profit (USD)
1-Jan-2023,California,T-shirts,70,1050,630,420
1-Jan-2023,California,Hoodies,130,3250,2112.5,1137.5
1-Jan-2023,Texas,T-shirts,65,975,585,390
1-Jan-2023,Texas,Hoodies,120,3000,1950,1050
1-Jan-2023,New York,T-shirts,60,900,540,360
1-Jan-2023,New York,Hoodies,140,3500,2275,1225
1-Jan-2023,Florida,T-shirts,80,1200,720,480
1-Jan-2023,Florida,Hoodies,100,2500,1625,875
1-Jan-2023,Illinois,T-shirts,55,825,495,330
1-Jan-2023,Illinois,Hoodies,110,2750,1787.5,962.5
1-Jan-2023,Washington,T-shirts,50,750,450,300
1-Jan-2023,Washington,Hoodies,125,3125,2031.25,1093.75
1-Jan-2023,Colorado,T-shirts,55,825,495,330
1-Jan-2023,Colorado,Hoodies,115,2875,1868.75,1006.25
1-Feb-2023,California,T-shirts,74,1110,666,444
1-Feb-2023,California,Hoodies,124,3100,2015,1085
1-Feb-2023,Texas,T-shirts,68,1020,612,408
1-Feb-2023,Texas,Hoodies,114,2850,1852.5,997.5
1-Feb-2023,New York,T-shirts,63,945,567,378
1-Feb-2023,New York,Hoodies,133,3325,2161.25,1163.75
1-Feb-2023,Florida,T-shirts,84,1260,756,504
1-Feb-2023,Florida,Hoodies,95,2375,1543.75,831.25
1-Feb-2023,Illinois,T-shirts,58,870,522,348
1-Feb-2023,Illinois,Hoodies,105,2625,1706.25,918.75
1-Feb-2023,Washington,T-shirts,53,795,477,318
1-Feb-2023,Washington,Hoodies,119,2975,1933.75,1041.25
1-Feb-2023,Colorado,T-shirts,58,870,522,348
1-Feb-2023,Colorado,Hoodies,109,2725,1771.25,953.75
1-Mar-2023,California,T-shirts,81,1215,729,486
1-Mar-2023,California,Hoodies,117,2925,1901.25,1023.75
1-Mar-2023,Texas,T-shirts,75,1125,675,450
1-Mar-2023,Texas,Hoodies,108,2700,1755,945
1-Mar-2023,New York,T-shirts,69,1035,621,414
1-Mar-2023,New York,Hoodies,126,3150,2047.5,1102.5
1-Mar-2023,Florida,T-shirts,92,1380,828,552
1-Mar-2023,Florida,Hoodies,90,2250,1462.5,787.5
1-Mar-2023,Illinois,T-shirts,63,945,567,378
1-Mar-2023,Illinois,Hoodies,99,2475,1606.25,868.75
1-Mar-2023,Washington,T-shirts,58,870,522,348
1-Mar-2023,Washington,Hoodies,113,2825,1836.25,988.75
1-Mar-2023,Colorado,T-shirts,63,945,567,378
1-Mar-2023,Colorado,Hoodies,104,2600,1690,910
1-Apr-2023,California,T-shirts,88,1320,792,528
1-Apr-2023,California,Hoodies,104,2600,1690,910
